levels,tid,phoneticword,pid,code,word,translation,definition,refn,code_status,ontology_branches
L5,391,paittikaraktaduShTiH,387,BB-4,पैत्तिकरक्तदुष्टिः,रक्त-vitiation by पित्त ,"the disorder is characterized by पीतं रक्तम् [blood with yellow discoluration], असितं रक्तम् [blackish coloured blood], औष्ण्यात् चिरेण स्त्यायति [delayed coagulation because of hotness], नीलं रक्तम् [blood with bluish tinge], हरितं रक्तम् [blood with greenish tinge], श्यावं रक्तम् [dark brown coloured], विस्रं रक्तम् [blood with smell of raw meat], कटुत्वात् पिपीलिकामक्षिकाणाम् अनिष्टम् [not favourable for ants/flies, bees because of कटु रस], औष्ण्यात् अस्कन्दि रक्तम् [not coagulates because of hotness], गृहधूमाञ्जनोदकं कृष्णं रक्तम् [soot/smoky coloured blood], मत्स्यगन्धि रक्तम् [fishy smell of blood], सचन्द्रकं रक्तम् [blood with shiny appearance/particles], गोमूत्राभं रक्तम् [blood resembling to cow's urine] ",Ca.Su.24/20; Su.Su. 16/17; As.Su.36/18; Ah.Su.27/40,Active,
L5,392,SlaiShmikaraktaduShTiH,387,BB-5,श्लैष्मिकरक्तदुष्टिः,रक्त-vitiation by कफ ,"the disorder is characterized by ईषत्पाण्डु रक्तम् [yellowish-white coloured blood], पिच्छिलं रक्तम् [slimy in nature], तन्तुमत् रक्तम् [thready (filamentous) appearance of blood], घनं रक्तम् [blood with thick consistency], गैरिकोदकप्रतिकाशं रक्तम् [blood as solution of red ochre/गैरिक], स्निग्धं रक्तम् [unctuous nature], शीतलं रक्तम् [blood which is cold in touch], बहलं रक्तम् [thick, volumnious blood], चिरस्रावि रक्तम् [blood which oozes for long time/delayed coagulation], मांसपेशीप्रभं रक्तम् [thick blood as muscle fibres], कोविदारपुष्प-वर्णवत् रक्तम् [blood having colour of flower of कोविदर, (bauhinia variegata).], स्कन्दि रक्तम् [blood which clots easily], व्रणद्वारावसादि रक्तम् [blood which blocks the orifice of the wound], लवणरसं रक्तम् [blood having salty taste], वसागन्धि रक्तम् [blood with smell of वस (muscle fat)] ",Su.Su. 14/21; As.Su.36/18; Ah.Su.27/40,Active,
L5,393,sAnnipAtikaraktaduShTiH,387,BB-6,सान्निपातिकरक्तदुष्टिः,रक्त-vitiation by त्रिदोष ,"the disorder is characterized by काञ्जिकाभं रक्तम् [blood with colour of gruel], विशेषतः दुर्गन्धि/दुर्गन्धं रक्तम् [blood with very bad odour], कंसनीलं रक्तम् [coppery blue coloure blood], आकुलं/मलिनं रक्तम् [impure blood], आविलं रक्तम् [turbid blood] ",Su.Su. 14/21; As.Su.36/18; Ah.Su.27/41,Active,
L4,394,mAMsavaiShamyam,383,BC,मांसवैषम्यम्,मांस vitiation , ,,Active,
L5,395,mAMsakShayaH,394,BC-1,मांसक्षयः,मांस depletion ,"the disorder is characterized by स्फिक्-शुष्कता [wasting of hips], ग्रीवा-शुष्कता [wasting of neck], उदर-शुष्कता [wasting of abdomen], गण्ड-शुष्कता [wasting of cheeks/whole side of the face including the temple], ओष्ठ-शुष्कता [wasting/dryness of lips], उपस्थ-शुष्कता [wasting, dryness of genitals/penis], ऊरु-शुष्कता [wasting of thighs], वक्षः-शुष्कता [wasting of chest], कक्षा-शुष्कता [wasting of armpits/axilla], पिण्डिका-शुष्कता [wasting of calf], रौक्ष्यम् [dryness], तोदः [pricking pain], गात्रसदनम् [exhaustion or tiredness of body], धमनीशैथिल्यम् [flabbiness of arteries], अक्षग्लानिः [lazy eyes/eye fatigue], सन्धिस्फोटनम्/सन्धिवेदना [splitting type of pain in joints] ",Ca.Su.17/65; Su.Su.15/9; As. Su.19/6; Ah.Su.11/18,Active,
L5,396,mAMsavRuddhiH,394,BC-2,मांसवृद्धिः,मांस aggravation/muscular hypertrophy ,"the disorder is characterized by स्फिक्-वृद्धिः [hypertrophy/enlargement of hips], गण्ड-वृद्धिः [hypertrophy/enlargement of cheeks, whole side of the face including the temple], ओष्ठ-वृद्धिः [hypertrophy/enlargement of lips], उपस्थ-वृद्धिः [hypertrophy/enlargement of genitals, penis], ऊरु-वृद्धिः [hypertrophy/enlargement of thighs], बाहू-वृद्धिः [hypertrophy/enlargement of arms], उदर-वृद्धिः [enlargement of abdomen], जङ्घा-वृद्धिः [hypertrophy/enlargement of calf], गुरुगात्रता [heaviness of limbs], स्फिक्-गौरव [heaviness of hips], गण्ड-गौरव [heaviness of cheeks], ओष्ठ-गौरव [heaviness of lips], बाहू-गौरव [heaviness of arms], उदर-गौरव [heaviness of abdomen], ऊरु-गौरव [heaviness of thighs], जङ्घा-गौरव [heaviness of calf], तालु-रोग [diseases of palate], जिह्वा-रोग [diseases of tongue], कण्ठ-रोग [diseases of कन्थ/throat], गलगण्डः [glandular swelling in jaw, neck and throat region /goitre], गण्डमाला [series of nodules in neck region], अर्बुदः [tumor], ग्रन्थिः [glandular swelling], श्लेष्मरक्तविकाराः [diseases of कफ and रक्त], कण्ठादिषु अधिमांसम् [hypertrophy of मांस in कण्ठ (throat and neck region)] ",Su.Su.15/14; As. Su.19/4; Ah.Su.11/10,Active,
L4,397,medovaiShamyam,383,BD,मेदोवैषम्यम्,मेदस् vitiation , ,,Active,
L5,398,medaHkShayaH,397,BD-1,मेदःक्षयः,balanitis ,"the disorder is characterized by सन्धिस्फुटनम् [breaking/splitting type of pain], ग्लानिः [fatigue in mind and body], अक्ष्णोः आयासम् [eye stress], उदरस्य तनुत्वम् [sunken abdomen], प्लीहाभिवृद्धिः [spleenomegaly], सन्धिशून्यता [hollowness felling in joints], रौक्ष्यम्/अङ्गरूक्षता [dryness of body parts], मेदुरमांस-प्रार्थना/मेदुरमांस-अभिलाषा [desire for fatty meat], कटिस्वापः [numbness in low back], कार्श्यः [emaciation], श्रमः [exhaustion/fatigue], शोषः [dryness/wasting/emaciation], मांसक्षयोक्त-लक्षणानि [signs symptoms of depletion of मांस] ",Ca.Su.20/14,Active,
L5,399,medovRuddhiH,397,BD-2,मेदोवृद्धिः,मेदस् aggravation ,"the disorder is characterized by स्निग्धाङ्गता [unctuousness of body parts], उदरवृद्धिः/उदरलम्बनम् [pendulous fatty enlargment of abdomen], पार्श्ववृद्धिः [fatty deposition in flanks], कासः [cough], श्वासः/अल्पेऽपि चेष्टिते श्वासम् [difficulty/hard breathing, dyspnoea on little exertion], दौर्गन्ध्यम् [bad odour], प्रमेहपूर्वरूपाः [prodromal signs of प्रमेह], स्थौल्य-उपद्रवाः [complications of obesity], श्लेष्म-रक्त-मांसविकाराः [diseases of कफ and रक्त], मांसवृद्धिलक्षणानि [signs and symptoms of enlargment/hypertrophy of मांस], श्रमः [exhaustion/fatigue], स्फिक्-लम्बनम् [pendulous fatty enlargment of hips], स्तन-लम्बनम् [pendulous fatty enlargment of breasts] ",Su.Su.15/14; As. Ni.11/26; Ah.Su.11/10; Ma.Ni.37/4,Active,
L4,400,asthivaiShamyam,383,BE,अस्थिवैषम्यम्,अस्थि vitiation , ,,Active,
L5,401,asthikShayaH,400,BE-1,अस्थिक्षयः,अस्थि depletion ,"the disorder is characterized by केश-प्रपतनम्/शातनम्/शदनम् [scalp hair fall/thinning], लोम-प्रपतनम्/शातनम् [body hair fall/thinning], नख-प्रपतनम्/शातनम्/शदनम् [nail fall/thinning], श्मश्रु-प्रपतनम् [beard/mustache fall/thinning], द्विज-प्रपतनम्/दन्त-शातनम्/शदनम् [teeth fall/decaying], श्रमः [exhaustion/fatigue], सन्धिशैथिल्यम् [dislocation of joint/lax joints], अस्थिशूलम् [pain in the bones], दन्त-भङ्गः [cracked teeth], नख-भङ्गः [cracked nail], रौक्ष्यम् [dryness], पारुष्यम् [roughness/dryness], अस्थितोदः [pricking type of pain in the bones], अस्थिबद्धमांस-अभिलाषा [desire to eat bony-meat] ",Ca.Su.17/67; Su.Su15/13; As.Su.19/6; Ah.Su.11/19,Active,
L5,402,asthivRuddhiH,400,BE-2,अस्थिवृद्धिः,अस्थि aggravation ,"the disorder is characterized by अध्यस्थिः [exessive growth of bones/bone growing over another], अधिदन्तः [exessive growth of teeth/redundant tooth which grows over another] ",Su.Su15/14; As.Su.19/6; Ah.Su.11/11,Active,
L4,403,majjAvaiShamyam,383,BF,मज्जावैषम्यम्,मज्जा vitiation , ,,Active,
L5,404,majjAkShayaH,403,BF-1,मज्जाक्षयः,मज्जा depletion ,"the disorder is characterized by शीर्यन्त इव अस्थीनि [decaying], दुर्बलानि/दौर्बल्यः [weakness], लघूनि [lightness], प्रततं वातरोगीणि [repeatedly affliction with वात रोग], अल्पशुक्रता [less quantity of semen /शुक्र], पर्वभेदः [breaking type of pain in small joints], अस्थिनिस्तोदः [pricking/pierceing type of pain of the bone], अस्थिशून्यता [feeling of emptiness in bones], अस्थिसौषिर्यः [porousness of bones], भ्रमः [giddiness or dizziness], तमोदर्शनम्/तिमिरदर्शनम् [black out] ",Ca.Su. 17/68; Su.Su.15/9; As.Su.19/6; Ah.Su.11/19,Active,
L5,405,majjAvRuddhiH,403,BF-2,मज्जावृद्धिः,मज्जा aggravation ,"the disorder is characterized by सर्वाङ्गगौरवम् [heavyness of the whole body], नेत्रगौरवम् [heavyness of the eyes], नेत्ररक्तता [redness of eyes], अङ्गरक्तता [redness of body], पर्वसु स्थूलमूलानि अरूंषि [furuncles at the base of small joints] ",Su.Su.15/14; As.Su.19/4; Ah.Su.11/11,Active,
L4,406,SukravaiShamyam,383,BG,शुक्रवैषम्यम्,शुक्रधातु vitiation , ,,Active,
L5,407,SukrakShayaH,406,BG-1,शुक्रक्षयः,hypospermia ,"the disorder is characterized by दौर्बल्यम्/बलक्षय [weakness or loss of physical strength], मुखशोषः/आस्यशोषः [dryness of mouth], पाण्डुत्वम्/अङ्गपाण्डुता [pallor/pale colour of body parts], सदनम् [exhaustion or tiredness to body and mind], श्रमः [exhaustion/fatigue], क्लैब्यम् [inability to perform sexual act/impotence], शुक्र-अविसर्गः/अप्रवृत्तिः [not able to ejaculate semen/suppression of semen], मेढ्र-वेदना [penile pain], वृषण-वेदना/वृषणयोः अत्यर्थं तोदः [scrotal pain/severe pain in scrotum], मैथुने अशक्तिः [inability to perform sexual act], चिरात् प्रसेकः/निषेकः [delayed ejaculation], प्रसेके अल्परक्त-शुक्रदर्शनम् / सरक्तनिषेकेण वा शुक्रम् [semen with little blood on ejaculation/impure?], तिमिरदर्शनम् [blackout], मुष्कतोदः [pricking type of pain in scrotum], मेढ्रधूमायनम् / मेढ्रं धूमायतीव [smoky sensation in penis] ",Ca.Su.17/69; Su.Su.15/9; As. Ni.19/6; Ah.Su.11/20,Active,
L5,408,SukravRuddhiH/SukrAdhikyam,406,BG-2,शुक्रवृद्धिः/शुक्राधिक्यम्,hyperspermia ,"the disorder is characterized by शुक्राश्मरी [seminal calculi/precipitated semen as calculus], अतिप्रादुर्भावम् [exessive ejaculation of semen], अतिस्त्रीकामता [excessive desire of intercouse with women] ",Su.Su.15/14; As.Su.19/4; Ah.Su.11/12; Bp.Ma.28/3,Active,
L4,409,ArtavavaiShamyam,383,BA-3,आर्तववैषम्यम्,आर्तव disorder , ,,Active,
L5,410,ArtavakShayaH,409,BA-3.1,आर्तवक्षयः,scanty menstruation/hypomenorrhoea/oligomenorrhea ,"the disorder is characterized by यथोचितकाल-अदर्शनम् [menstruation not on proper time/metrorrhagia], आर्तव-अल्पता [scanty menstrual flow], योनिवेदना [pain in योनि (vagina)] ",Su.U.15/12,Active,
L5,411,ArtavavRuddhiH,409,BA-3.2,आर्तववृद्धिः,menorrhagia ,"the disorder is characterized by अङ्गमर्दः [generalised bodyache], अतिप्रवृत्तिः [excessive menstrual bleeding/menorrhagia], दौर्गन्ध्यम् [bad odour] ",Su.U.15/16,Active,
L4,412,stanyavaiShamyam,383,BA-4,स्तन्यवैषम्यम्,vitiation of स्तन्य , ,,Active,
L5,413,stanyakShayaH,412,BA-4.1,स्तन्यक्षयः,hypogalactia ,"the disorder is characterized by स्तनयोर्म्लानता [emaciated breast /absence of charm of breasts], स्तन्य-असम्भवः [supression of lactation], स्तन्य-अल्पता [reduced lactation] ",Su.Su.15/12,Active,
L5,414,stanyavRuddhiH,412,BA-4.2,स्तन्यवृद्धिः,hypergalactia ,"the disorder is characterized by आपीनत्वम् [fully extended/large breast], मुहुर्मुहूः प्रवृत्तिम् [frequent lactation], तोदम् [pricking pain] ",Su.Su.15/16,Active,
L4,415,ojovaiShamyam,383,BH,ओजोवैषम्यम्,ओजस् vitiation , ,,Active,
L5,416,ojakShayaH,415,BH-1,ओजक्षयः,ओजस् depletion ,"the disorder is characterized by बिभेति [fear], दुर्बलः [loss of physical strength or weakness], अभीक्ष्णं ध्यायति [constantly thinking], व्यथितेन्द्रियः [distressed sense organs/sense organs not able to perform properly], दुश्छायः [diminished complexion], दुर्मनः [lack mental strength], रूक्षः [dry], क्षामः [wasted/dried up/emaciated], मूर्च्छा [syncope/attacks of swooning], मांसक्षयः [extreme wasting of muscles/diminution of muscle mass], मोहः [confusion/delirium], प्रलापः [excess talking/irrelevant speech/incoherent speech], मरणम् [death] ",Ca.Su.17/73; Su.Su. 15/24; As.Su.19/33; Ah.Su.11/40,Active,
L5,417,oja-visraMsaH,415,BH-2,ओज-विस्रंसः,ओजस् dislodgement ,"the disorder is characterized by सन्धिविश्लेषः [loosening /dislocation of joints], गात्रसदनम् [exhaustion or tiredness of body], दोषच्यवनम् [depletion of दोष], क्रियासन्निरोधः [supression of activities] ",Su.Su.15/24,Active,
L5,418,oja-vyApat,415,BH-3,ओज-व्यापत्,ओजस् derangement ,"the disorder is characterized by स्तब्धगात्रता [stiffness of the body], गुरुगात्रता [heaviness of limbs], वातशोफः [swelling caused by वात], वर्णभेदः [discoluration viz. white etc.], ग्लानिः [fatigue in mind and body], तन्द्रा [drowsiness/lassitude], निद्रा [sleep] ",Su.Su.15/24,Active,
L4,420,rAjayakShmA,383,BI,राजयक्ष्मा,consumption , ,Ca.Ni.6; Ca.Ci.8; Su.U.41/1; Ah.Ni.5; Ma.Ni.10; Sha.Pu.7/22,Active,
L5,421,rAjayakShmA-pUrvarUpam,420,BI-1,राजयक्ष्मा-पूर्वरूपम्,prodromes of राजयक्ष्म ,"the disorder is characterized by प्रतिश्यायः [cold, catarrh], अभीक्ष्णं क्षवथुः / भृशं क्षवः [sneezing/excessive sneezing], श्लेष्मप्रसेकः/कफसंस्रवः [salivation/कफ oozing out], मुखमाधुर्यम् [sweet taste in mouth], अनन्नाभिलाषः/अरुचिः [disinclination for food], अन्नकाले चायासः [effort while eating], अदोषेषु अल्पदोषेषु वा भावेषु दोषदर्शनम् [finds fault in perfect things], शुचौ अपि अशुचीक्षणम् [clear things seeing as dirty/ perceives the clear/pure things as not so], भुक्तवतः हृल्लासः [nausea after food], आहारस्य अन्तरा अन्तरा उल्लेखनम् [frequent vomiting of food while eating], मुखस्य पादयोः शोफः [oedema on face and legs], पाण्योः अवेक्षणम् [looks frequently at self arms], अक्ष्णोः श्वेतावभासता / शुक्लेक्षणोः / अक्ष्णोः अतिशुक्लता [pallor of eyes], बाह्वोः प्रमाणजिज्ञासा [curious about measuring own arms/measurement of arms], स्त्रीकामता/स्त्रीप्रियता/रिरंसुः [excessive desire to mate with female/wishing for sexual pleasures], निर्घृणित्वम् [mercilessness or cruel disposition], घृणित्वं [awarm feeling towards others], काये बीभत्सदर्शनम् [disgusted appearance], स्वप्ने-अभीक्ष्णं दर्शनम् [frequent dreams of waterbodies without water, village/town/cities without people, forests with dried/or burning/fallen trees, contact of lizard, peacock, monkey, parrot, snake, crow, owl; riding on horse, camel, donkey, pig and going on heaps of hair, bone, ash, husk, burning coal], दौर्बल्यम् [weakness], बल-मांसपरिक्षयः [depletion of मम्स धतु- physical strength], अश्नतोऽपि बलक्षयः [diminution of बल despite of food intake], मद्यप्रियता [desire to consume alchohol], मांसप्रियता/मांसपरः [desire to eat meat], अवगुण्ठने प्रियता [fond of covering the head with hands], अन्नपाने मक्षिका-घुण-केश-तृणानां पतनम् [], केशानाम् अभिवर्धनम् [extra growth of hairs], नखानाम् अभिवर्धनम् [extra growth of nails], श्वासः [breathlessness/difficult breathing], कासः [cough], अङ्गसादः/देहसदनम् [exhaustion or tirednes to body /inability to perform physical activities], तालुशोष [dryness of palate], छर्दिः [vomiting], अग्निसादः/वह्निसदनम् [diminution of अग्नि (digestive power)], मदः [intoxication], पीनसः [cold, catarrh], पाण्डुः [pallor], निद्रा [sleep], मूर्धगुण्ठनम् [hiding of head] ",Ca.Ni.6/13; Ca.Ci.8/33-37; Su.U.41/29-30; As.Ni.5/10; Ah.Ni.5/7-10; Ma.Ni.10/3-4,Active,
L5,422,sAhasaja-rAjayakShmA,420,BI-2,साहसज-राजयक्ष्मा,राजयक्ष्म due to physical exertion ,"the disorder is characterized by शिरःशूलम् [headache], कण्ठोद्ध्वंसम् [hoarseness of voice], कासः [cough], स्वरभेदम् [hoarseness of voice], अरोचकम् [tastelessness], पार्श्वशूलम् [pain in sides of chest/flanks], वर्चोभेदम् [diarrhoea/loose motions], जृम्भाम् [yawning], ज्वरम् [fever], उरसो रुजम् [pain in the chest], कफं ष्ठीवेत् सशोणितम् [spitting out phlegm along with blood], जर्जरेणोरसा कृच्छ्रमुरःशूलातिपीडितः [patient suffers from unbearable pain in his chest due to the pulmonary trauma], अङ्गमर्दः [generalised bodyache], उरस्या (उरोगताः हृद्द्रवशूलादयः) [palpitation and pain in cardiac region], स्वरावसादः [sunken voice], श्वासः [breathlessness/difficult breathing], प्रतिश्यायः [cold, catarrh], दौर्बल्यम् [weakness] ",Ca.Ci.8/14-19; Ca.Ni.6/4; Su.U.41/8; Ah.Ni.5/4; Ma.Ni.10/1; Bp.Ma.11/1,Active,Note: Also Classifed under शोणितजन्यरोगः[ED-2]
L5,423,vegarodhaja-rAjayakShmA,420,BI-3,वेगरोधज-राजयक्ष्मा,राजयक्ष्म due to withholding natural urges ,"the disorder is characterized by प्रतिश्यायम् [cold, catarrh], कासः [cough], स्वरभेदम् [hoarseness of voice], अरोचकम् [tastelessness], पार्श्वशूलम् [pain in sides of chest/flanks], शिरःशूलम् [headache], ज्वरः [fever], अंसावमर्दनम् [crushing type of pain in shoulders], अङ्गमर्दः [generalised bodyache], मुहुश्छर्दिः [frequent vomiting], वर्चोभेदम् [diarrhoea/loose motions], पुरीषशोषः [depletion of purisha/feces], कण्ठावधमनम् [irritation in the throat], उरोऽवधमनम् [irritation in chest], श्वासम् [breathlessness/difficult breathing] ",Ca.Ci.8/20-23; Ca.Ni.6/6; Su.U.41/8; Ah.Ni.5/4; Ma.Ni.10/1; Bp.Ma.11/1,Active,
L5,424,viShamASanaja-rAjayakShmA,420,BI-4,विषमाशनज-राजयक्ष्मा,राजयक्ष्म due to unsalutary food ,"the disorder is characterized by प्रतिश्यायम् [cold, catarrh], प्रसेकम् [exessive salivation], कासः [cough], छर्दिम् [vomiting], अरोचकम् [tastelessness], ज्वरम् [fever], अंसाभितापम् [burning sensation in shoulders/scapula], छर्दनं रुधिरस्य [hemoptysis], पार्श्वशूलम्/पार्श्वसंरुजम् [pain in sides of chest/flanks], शिरःशूलम् [headache], स्वरभेदम् [hoarseness of voice], शूलम् [colicky pain in the abdomen], अङ्गमर्दः [generalised bodyache], कण्ठोद्ध्वंसनम् [hoarseness of voice], अंसावमर्दम् [crushing type of pain in shoulders], अतीसारम् [diarrhoea], अन्तर्दाहम् [burning sensation inside the body], शिरसो गुरुत्वम् [heaviness of the head], उरःक्षतम् [traumatic chest/pulmonary trauma], दौर्बल्यम् [weakness] ",Ca.Ci.8/28-32; Ca.Ni.6/10; Su.U.41/8; Ah.Ni.5/4; Ma.Ni.10/1; Bp.Ma.11/1,Active,
L5,425,kShayaja-rAjayakShmA,420,BI-5,क्षयज-राजयक्ष्मा,राजयक्ष्म due to depletion of body elements ,"the disorder is characterized by सन्धिशैथिल्यम् [dislocation of joint/lax joints], रौक्ष्यम् [dryness], प्रतिश्यायम् [cold, catarrh], ज्वरम् [fever], कासः [cough], अङ्गमर्दः [generalised bodyache], शिरोरुजम् [headache], श्वासम् [breathlessness/difficult breathing], विड्भेदम् [altered stools/loose motions], अरुचिम्/अरोचकम् [tastelessness], पार्श्वशूलम् [pain in sides of chest/flanks], स्वरक्षयम् [diminution of voice/loss of voice], अंससन्तापम् [burning sensation in shoulders/scapular region], दौर्बल्यम् [weakness], परिशोषयति मांसशोणिते [depletion /drying up of mamsa/रक्त], अंसावमर्दम् [crushing type of pain in shoulders], कण्ठोद्ध्वंसनम् [hoarseness of voice], अविपाकम् [delayed digestion/indigestion], श्वासम् [breathlessness/difficult breathing], स्वरभेदम् [hoarseness of voice], उरःक्षतम् [traumatic chest/pulmonary trauma], शोणितं ष्ठीवति [hemoptysis] ",Ca.Ci.8/24-27; Ca.Ni.6/8; Su.U.41/10; Ah.Ni.5/4; Ma.Ni.10/1; Sha.Pu.7/23; Bp.Ma.11/1,Active,
L5,426,vyavAyajanyarAjayakShmA,420,BI-6,व्यवायजन्यराजयक्ष्मा,राजयक्ष्म due to excessive copulation ,"the disorder is characterized by पाण्डुदेहः [pallor], शुक्रक्षयलिङ्गानि [signs of depletion of शुक्र धातु], यथापूर्वधातुक्षयलिङ्गानि [depletion of earlier धातु] ",Su.U.41/17; Ma.Ni.10/1; Sha.Pu.7/23; Bp.Ma.11/20,Active,
L5,427,SoShajanyarAjayakShmA,420,BI-7,शोषजन्यराजयक्ष्मा,राजयक्ष्म due to शोष , ,Bp.Ma.11/20-21,Active,
L5,428,SokajanyarAjayakShmA,420,BI-8,शोकजन्यराजयक्ष्मा,राजयक्ष्म due to excessive grief ,"the disorder is characterized by प्रध्यानशीलः [always in thoughtful mood], स्रस्ताङ्गः [flaccidity/laxity], पाण्डुदेहः [pallor] ",Su.U.41/18; Ma.Ni.10/15; Sha.Pu.7/23; Bp.Ma.11/21,Active,
L5,429,vArdhakyajanyarAjayakShmA/jarASoShaH,420,BI-9,वार्धक्यजन्यराजयक्ष्मा/जराशोषः,senile राजयक्ष्म ,"the disorder is characterized by कृशः [emaciated/thin /malnourished], मन्दवीर्यः [having little virility/energy], मन्दबुद्धिः [mental dullness/stupid], मन्दबलम् [reduced physical strength], इन्द्रियमन्दता [decreased ability of sense organs], कम्पः [tremors], अरुचिः/अरुचिपीडितः [tastelessness/afflicted with tastelessness], भिन्नकांस्यपात्रहतस्वरः [voice resembles the sound produced by a crackled bell metal pot], श्लेष्मणा हीनं ष्ठीवति [spits minimal phlegm], गौरवपीडितः [afflicted with heaviness], संप्रस्रुतास्यम् [watery discarge from the mouth], संप्रस्रुतनासा [watery discarge from the nose], संप्रस्रुताक्षिः [watery discharge from eyes], सुप्तरूक्षछविः/शुष्करूक्षछविः [dull appearance], रूक्षमलः/शुष्करूक्षमलः [passes dry faeces], अरतिपीडितः [severe distress/dicontent/restlessness] ",Su.U.41/19-20; Ma.Ni.10/16-18; Sha.Pu.7/24; Bp.Ma.11/22-23,Active,
L5,430,vyAyAmajanyarAjayakShmA,420,BI-10,व्यायामजन्यराजयक्ष्मा,राजयक्ष्म due to over exercise ,"the disorder is characterized by उरोरुक् [pain in the chest], शोणितच्छर्दिः [haematemesis], वैशेषिकः कासः [typical type of or excessive cough], सरक्तमूत्रत्वम् [haematuria], पार्श्वग्रहः [stiffness in sides of chest], पृष्ठग्रहः [stiffness of back], कटिग्रहः [stiffness of the lumbar region/lowback], उरःक्षतलिङ्गानि (क्षताद्विना) [clinical features of traumatic chest/pulmonary trauma (consumption) without injury] ",Ca.Ci.11/4-8; Su.U.41/22; Ma.Ni.10/19; Sha.Pu.7/24; Bp.Ma.11/25,Active,
L5,431,adhvajanya-rAjayakShmA/SoSha,420,BI-11,अध्वजन्य-राजयक्ष्मा/शोष,राजयक्ष्म due to excessive walking ,"the disorder is characterized by स्रस्ताङ्गः [flaccidity/laxity], संभृष्टपरुषच्छविः [fading colour], प्रसुप्तगात्रावयवः [numbness of limbs], शुष्कक्लोमगलाननः [dryness of क्लोम, throat, face] ",Su.U.41/21; Ma.Ni.10/18-19; Sha.Pu.7/24; Bp.Ma.11/24,Active,
L5,432,vraNajanyarAjayakShmA,420,BI-12,व्रणजन्यराजयक्ष्मा,राजयक्ष्म due to wounds ,"the disorder is characterized by रक्तक्षयः [diminution of रक्त], वेदना [pain] ",Su.U.41/23; Ma.Ni.10/20; Sha.Pu.7/23; Bp.Ma.11/26,Active,
L5,433,uraHkShatajanyarAjayakShmA,420,BI-13,उरःक्षतजन्यराजयक्ष्मा,राजयक्ष्म due to traumatic chest ,"the disorder is characterized by उरसि क्षते रक्तं गच्छति [blood discharge from traumatic chest/pulmonary trauma], उरसि क्षते पूयः गच्छति [pus discharge from traumatic chest /pulmonary trauma], उरसि क्षते श्लेष्मा गच्छति [mucus discharge from traumatic chest/pulmonary trauma], कासमानश्छर्दयेत् पीतम् [yellowish expectoration while coughing], कासमानश्छर्दयेत् रक्तम् [expectoration of blood while coughing], कासमानश्छर्दयेत् असितम् [blackish expectorant while coughing], कासमानश्छर्दयेत् अरुणम् [reddish brown coloured expectorant while coughing], सन्तप्तवक्षाः [chest is felt to be warm/hot], अत्यर्थं दूयनात्परिताम्यति [faints due to exessive pain], दुर्गन्धवदनः [foul odour from mouth/hallitosis], दुर्गन्धोच्छ्वासः [foul odour emitted from breath], भिन्नवर्णः [altered colour/complexion of body], भिन्नस्वरः [hoarseness of voice] ",Ca.Ci.11/9-11; Su.U.41/24-26; Ma.Ni.10/21-29; Sha.Pu.7/23; Bp.Ma.11/31-33,Active,
L5,434,vAtikarAjayakShmA,420,BI-14,वातिकराजयक्ष्मा,राजयक्ष्म due to वात ,"the disorder is characterized by स्वरभेदः [hoarseness of voice/any defect in speaking], अंसयोः शूलम् [pain in shoulders], पार्श्वयोः शूलम् [pain in sides of chest/flanks], अंसयोः संकोचः/संलोचः [contraction of shoulders], पार्श्वयोः संकोचः/संलोचः [contraction of flanks], शिरःशूलम् [headache], अंसमर्दनम् [crushing type of pain in shoulders], अङ्गमर्दः [generalised bodyache], कण्ठोद्ध्वंशः [hoarseness of voice], स्वरभ्रंशः [altered voice] ",Su.U.41/12; As. Ni.5/18; Ah.Ni.5/16; Ma.Ni.10/6,Active,
L5,435,paittikarAjayakShmA,420,BI-15,पैत्तिकराजयक्ष्मा,राजयक्ष्म due to पित्त ,"the disorder is characterized by ज्वरः [fever], दाहः [burning sensation], रक्तस्य आगमः/असृक्च्छर्दिः [haemoptysis], अतिसारः [diarrhoea], पाददाहः [burning in feet], अंसदाहः [burning in shoulders], पाणिदाहः [burning in palms], मुखगन्धः [bad smell of the mouth], मदः [intoxication] ",Su.U.41/12; As. Ni.5/18; Ah.Ni.5/17; Ma.Ni.10/6,Active,
L5,436,kaPajarAjayakShmA,420,BI-16,कफजराजयक्ष्मा,राजयक्ष्म due to कफ ,"the disorder is characterized by छर्दिः [vomiting], मूर्धगौरवम् [heaviness of head], अङ्गगौरवम् [heaviness in the body], प्रसेकः [excessive salivation], पीनसः [cold, catarrh], श्वासः [breathlessness/difficult breathing], स्वरसादः [loss of voice], अल्पवह्निता [diminution of अग्नि/reduced digestive power] ",Su.U.41/13; As.Ni.5/19; Ah.Ni.5/18; Ma.Ni.10/6,Active,
L5,437,yakShmajajvaraH,420,BI-17,यक्ष्मजज्वरः,उन्माद due to possession of yakSha , ,Ca.Ci.9/10; Su.U.62/11; Ma.Ni.20/21; Sha.Pu.kha.7/38; Bp.Ma.29/22,Active,
L5,438,yakShmajaSiraHSUlaH,420,BI-18,यक्ष्मजशिरःशूलः,headache due to राजयक्ष्म , ,Ca.Ci.8/56,Active,
