levels,tid,pid,code,word,arabic,translation,definition
L4,214,156,B-29,Juḥūẓ al-‘Ayn,جحوظ العين,Exophthalmos,Protrusion of the eyeball. 
L5,215,214,B-29.1,Juḥūẓ Imtilā’ī,جحوظ امتلائي,,A type of protrusion of eyeball that is due to the congestion of eye ball with humours.
L5,216,214,B-29.2,Juḥūẓ Inḍighāṭī,جحوظ انضغاطي,,"Protrusion of eyeball due to increased pressure on eye ball as seen in strangulation, vomiting, severe headache, crying, straining for bowels, straining for labour or child birth."
L5,217,214,B-29.3,Juḥūẓ Istirkhā’ī,جحوظ استرخائي,,Protrusion of eye ball due to paresis of eye muscles and ligaments attached to it.
L4,218,156,B-30,Sill al-‘Ayn,سل العين,Phthisis bulbi,"In this condition there is a reduction in humours of eyes because of which different layers of eye and eye as a whole become shrunken. The disease affects mostly older people, but sometimes it affects younger people and children. This is characterized by the adherent eyelids and loss of vision."
L4,219,156,B-31,Baraṣ al-‘Ayn,برص العين,Vitiligo iridis,Whitish discoloration or depigmentation of eyes due to impaired temperament of iris. This impaired temperament is caused by the presence of viscous humours in it.
L4,220,156,B-32,Ḍu‘f al-Baṣar,ضعف البصر,Asthenopia/Amblyopia,"In this condition there is an impairment of vision due to strain during reading, watering of eyes and blurring. It is caused by cold and hot impaired temperament either simple or organic. It is also caused by old age due to excess of <em>Ruṭūbat Faḍliyya</em> (waste material) in the body."
L4,221,156,B-33,Takhayyulāt,تخيلات,Visual hallucinations,False perception of images or objects which actually do not exist. This is due to congestion of morbid humours in brain and nerves. These include: 1. Seeing of pillars of smoke which is divided into many branches later. 2. Seeing of sparkles in front of eye. It is due to the compression of arteries. 3. Seeing of white objects. 4. Seeing of objects bigger than their size. 5. Seeing of objects smaller than their size. 6. Seeing of multiple objects or polyopia. 7. Seeing of objects falling down.
L4,222,156,B-34,Qaṣr al-Baṣar,قصر البصر,Myopia,The increased convexity of lens of the eye due to which patient cannot see nearer objects.
L4,223,156,B-35,Ṭūl al-Baṣar,طول البصر,Hypermetropia,The increased concavity of lens of eye due to which patient is unable to see the distant objects.
L4,224,156,B-36,Ḥawal,حول,Strabismus/ Squint,"A condition in which patient especially children use their one eye. When they use both eyes, they see double images of the objects due to different curvatures of eyes. The condition may be congenital due to epilepsy, weakness of the muscles of eye, etc."
L4,225,156,B-37,Shabkorī/‘Ashā’,شب كوري/ عشا,Night blindness/Nyctalopia,"A disease in which patient cannot see properly in dim light and at night. It is due to the accumulation of specific viscous humours which affect optic channels. At day time these viscous humours get dissolved due to increase of temperature, sunlight and physical activity and the patient sees properly at daytime."
L4,226,156,B-38,Jahar/ Rozkorī,جهر/ روزكوري,Day blindness/Hemeralopia,A disease in which patient cannot see properly in day light. It is due to dissolution of <em>Rūḥ Bāṣira</em> (optic pneuma) and humours of eyes in sunlight.
L4,227,156,B-39,Khafash,خفش,Dazzleness/Glare,"Its literal meaning is small eye. In this disease, the patient finds it difficult to see clearly in daylight and is unable to tolerate the rays of the sun. Its cause is thinning of cornea and iris."
L4,228,156,B-40,Qumūr,قمور,Moon blindness/Snow blindness,A type of disturbance or fatigue of vision which is caused by the continuous seeing at snow. In this condition sun’s rays from the snow get reflected towards eyes making the vision blurred. This condition occurs not only by continuous staring at snow but it may also be caused by staring at any other bright object also. The condition mainly affects person who travel a lot in snow. The glare of the sun’s rays cause defect of vision in such persons.
L4,229,156,B-41,Dhahāb al-Baṣar fi’l Maṭāmīr wa’l Ḥubūs al-Muẓlima,ذهاب البصر في المطامير والحبوس المظلمة,,A condition in which patient’s pupils get dilated after staying in dark room for a long time. When he comes out the sun’s rays cause blurring of vision.
L4,230,156,B-42,Bughḍ al-‘Ayn,بغض العين,Photophobia,"The intolerance of light by eyes. It may be caused either by conditions of the eye itself e.g. corneal ulcers, uveitis, kerato conjunctivitis etc. or by some cranial disorders e.g. migraine, trigeminal neuralgia, etc."
L4,231,156,B-43,Istirkhā’ al-Jafn,استرخاء الجفن,Ptosis,The drooping of upper eyelids due to paralysis of eye muscles or congenitally due to the defect of the muscles of eye. It may also be associated with conjunctivitis. Sometimes tumours or any inflammation of eyelids also cause drooping.
L4,232,156,B-44,Suqūṭ al-Qazḥiyya,سقوط القزحية,,Prolapse of iris due to corneal ulcers.
L4,233,156,B-45,Iltiṣāq al-Jafn,التصاق الجفن,Symblepharon,"A disease in which there is an adherence of eyelids after conjunctivitis or some inflammation of eyelids, burn, injury, etc. It can be of two types: 1. adhesion of both eyelids, 2. adhesion of eyelids with eye ball. It is due to some diseased condition of eyeball e.g. corneal ulcers, surgery for Pterygium, trachoma, etc."
L4,234,156,B-46,Shatra/ Inqilāb al-Jafn,شتر ہ/ انقلاب الجفن,Lagophthalmos,"Incomplete closure of the eyelids due to stricture and inversion of eyelids. It may be congenital or caused by the inflammation of eyelids, paresis of the muscles of eyelids, malsuturing of eyelids after surgery. "
L5,235,234,B-46.1,Shatra Dākhiliyya,شترہ داخليہ,Entropion,"Inversion of the eyelids towards the eyeball. This can be congenital, after surgery of eyelids or paralysis of muscles of eyelids. It may be due to scar formation or spasm of muscles."
L5,236,234,B-46.2,Shatra Khārijiyya,شترہ خارجيہ,Ectropion,Aversion of the eyelid i.e. away from the eyeball.
L4,237,156,B-47,Ṣalāba al-Ajfān/ Jus’a al-Ajfān,صلابة الاجفان/ جسأة الاجفان,Sclerosis of eyelids,A condition in which there is thickening and hardening of eyelids due to accumulation of cold and viscous humours. This condition generally occurs after trachoma.
L4,238,156,B-48,Sulāq/ Bāmnī,سلاق/ بامني,Blepharitis/Tarsitis,"A type of hardening of eyelid caused by the presence of acute humours in it and is characterized by redness of eyes, itching, falling of eye lashes. It is of two types: acute and chronic."
L4,239,156,B-49,Qirdān al-Ajfān,قردان الاجفان,Tick infestation of the eyelids,"These are the ticks found at the root of eyelids. The causative factors include excessive intake of bad quality food, lack of exercise, lack of bathing, along with pouring of putrefied matter towards eyelids."
L4,240,156,B-50,Bayāḍ al-Hudub,بیاض الہدب,Greying of eyelashes,It is the graying of eyelashes. It usually occurs in winters and old age. It may be congenital or may be caused by phlegmatic viscous humour.
L4,241,156,B-51,Dummal al-Ajfān,دمّل الاجفان,,It is a small swelling on the external surface of eyelids. It may occur in the central part or on the sides. It is caused by excessive use of diets that produce thick humour which deflects towards eyelids. It leads to difficulty in the movements of eyelids.
L4,242,156,B-52,Sharā al-Ajfān,شر یٰ الاجفان,,"It is a reddish swelling on the external surface of eyelids. On examination it appears as an insect bite. It is caused by sanguine, yellow bile or mixture of both with the addition of phlegm. It usually affects the children and youngsters."
L4,243,156,B-53,Namla al-Ajfān,نملۃ الاجفان,,It is a condition in which the margins of eyelids get cracked with falling of few eyelashes. The margins are red in color with eruptions. It usually occurs in children and youngsters during summer. It is caused by the accumulation of burnt bilious matter on the eyelids. Initially the pain in the eyelids seems to be simulating with ant bite.
L4,244,156,B-54,Tha’ālīl al-Ajfān,ثآ ليل الاجفان,,It is a wart appearing on the external surface of eyelids. It is caused by putrefaction of melancholic humour (predominated by cold) flowed into the eyelids.
L4,245,156,B-55,Sal‘a al-Ajfān,سلعة الاجفان,,"It is of four types: <em>Laḥmiyya</em>, <em>Shaḥmiyya</em>, <em>Shahdiyya</em>, <em>‘Aṣā’idiyya</em>. It commonly arises during the old age. It is caused by excessive intake of phlegm producing diets and flowing of phlegmatic matter into the eyelids."
L4,246,156,B-56,Ṭarf al-Ajfān,طرف الاجفان,,It is the excessive trembling of eye lids. It is caused by falling of a foreign body in eyes and accumulation of thick gases in the eye lids. It is the body’s mechanism to get rid of these thick gases from the eyelids.
L4,247,156,B-57,Wardīnaj,وردینج,,It is an acute inflammation which occurs in the inner side of upper or lower eyelids or both. The causative factors include sanguineous matter coming towards eyelids or mixing of yellow bile with sanguineous matter.
L4,248,156,B-58,Jus’a al-Multaḥim,جسأة الملتحم,,"It is a type of hardness of conjunctiva with difficult eye movement. It is caused by infiltration of thick dry humours towards conjunctiva. It is characterized by slight redness accompanied by difficult movement of eyelids especially after waking up, slight pain and foreign body sensation in the eyes."
L4,249,156,B-59,Jarab al-‘Ayn,جرب العين,Trachoma,Small pustules in the internal surface of eyelids which cause watering of eye and itching.
L5,250,249,B-59.1,Jarab Munbasiṭ,جرب منبسط,,Itching of eyes characterised by roughness of eyelids associated with itching and hardening of eyes.
L5,251,249,B-59.2,Jarab Ḥaṣafī,جرب حصفي,,Pustules caused due to presence of acute and foul humours in the eyelids.
L5,252,249,B-59.3,Jarab Tīnī/ Suqūsalīs,جرب تيني/ سقوسلیس,,When the pustules of eyelids look like fig. 
L5,253,249,B-59.4,Jarab Aswad,جرب اسود,Trachoma melonum,Black eruptions of eyelids with scarring. It is a malignant type.
L5,254,249,B-59.5,Jarab ‘Adasī,جرب عدسي,Granular itching,Lentil shaped eruptions of the eye lids.
L4,255,156,B-60,Ḥikka al-Āmāq wa’l Ajfān,حكة الآماق والاجفان,,A type of itching of eye lids due to accumulation of saline humours on them. This causes watering of eyes and ulceration.
L4,256,156,B-61,Shirnāq,شرناق,,"A fatty swelling of the inner surface of upper eye lids which is chronic in nature. The swelling is immovable. In this condition, there is difficulty in lifting the eye lids, photophobia and watering of eyes."
L4,257,156,B-62,Barada,برد ہ,Chalazion/Meibomian cyst,A phlegmatic swelling of the eyelid which is movable. It appears as a hail on the internal surface of eyelids.
L4,258,156,B-63,‘Uqda al-‘Ayn,عقدة العين,Tumour of eyelids,A type of tumour found in the internal surface of eyelids due to viscous humour which later on becomes hard. It is of three types: 1. <em>Mutaḥarrik</em> i.e. movable e.g. cyst 2. hard type which is immovable 3. <em>Munbasiṭ</em> i.e. spread over the eyelid. Its thickness is not marked. Sometimes it appears reddish in colour with prominent vessels.
L4,259,156,B-64,Sha‘īra,شعير ہ,Stye/Hordeoleum,"An inflammation of the root of eye lashes followed by pus formation, swelling, pain and oedema of eyelids."
L4,260,156,B-65,‘Arūsa,عروسہ,,"An inflammation of the internal surface of eyelids in which signs of inflammation are more severe with more redness, pain and swelling."
L4,261,156,B-66,Tūtha al-‘Ayn,توثة العين,,A type of malignant swelling caused by black bile. It is of two types: <em>Dāmiya</em> and <em> ‘Āmiya</em>.
L4,262,156,B-67,Taḥajjur al-Ajfān,تحجر الاجفان,,Hardness of eyelids caused by viscous black humour.
L4,263,156,B-68,Qurūḥ al-Ajfān,قروح الاجفان,Ulcers of eyelids,Ulcers of eyelids that can be caused by the injury of eye or by infection.
L4,264,156,B-69,Tahabbuj al-Ajfān,تهبج الاجفان,Oedema of eyelids,Oedema or swelling of the eyelids caused due to defect in the digestive faculties of the organs e.g. in anaemia.
L4,265,156,B-70,Sha‘r Munqalib/ Inqilāb al-Sha‘r,شعر منقلب / انقلاب الشعر,Trichiasis,"Inversion of eyelashes. Inverted eyelashes cause continuous irritation of the eyeball leading to corneal ulcers, pain and watering of eyes."
L4,266,156,B-71,Sha‘r Zā’id,شعر زائد,Distichiasis,Growth of eyelashes from the internal edge of eyelid which create disturbance of vision. The condition is caused by infected fluids which get accumulated at the margins of eyes.
L4,267,156,B-72,Intithār al-Ahdāb,انتثار الاهداب,Ptilosis,"Falling of eyelashes caused by malnutrition, waste humours, yellow bile or black bile. As a result of this dirt, dust and sunrays enter the eye easily causing itching, pain and disturbance of vision."
L4,268,156,B-73,Qummal al-Ajfān,قمل الاجفان,Pediculus blepharitis,"Lice of eyelids caused by the accumulation of putrified, infected fluids."
L4,269,156,B-74,Dam‘a,دمعہ,Epiphora,A disease in which there is continuous watering of eyes without trichiasis or any other disease of eye. It is caused by improper management of Pterygium or accumulation of fluid in head and eyes.
L4,270,156,B-75,Buwālatayn,بوالتين,,"Continuous flow of two or three drops of tears at frequent intervals. It is due to the thickening of upper eyelid because of congestion, increased intake of alcohol and sleeplessness. When the thickened eyelid gets in contact with the other eyelid, tears roll down from the eyes."
L4,271,156,B-76,Inḥiṭaṭ Ṭabaqa al-Shabakiyya wa’l Mashīmiyya,انحطاط طبقة الشبكية و المشيمية,Degeneration of the retina and choroid,The degenerative changes in retina and choroid may be congenital or due to malnutrition and old age. It often leads to blindness.
L4,272,156,B-77,Taṣallub al-‘Urūq al-Shabakiyya,تصلب العروق الشبكية,Retinal arteriosclerosis,Sclerosis and thickening of the walls of smaller arteries of retina.
L4,273,156,B-78,Infiṣāl al-Shabakiyya,انفصال الشبكية,Retinal dettachment,A condition where retina is detached from choroid. There is subluxation of retina inwards because of pressure from outside.
L3,274,2,C,"Amrāḍ-i-Udhun, Anf wa Ḥalaq",امراض اذن انف و حلق,"Diseases of Ear, Nose and Throat",
L4,275,274,C-1,Waja‘ al-Udhun,وجع الاذن,Otalgia,"Pain of the ear can be due to cold and coryza, dental caries, foreign body or water in the ear, maggots of the ear, cleaning of ear with some sharp object, joint pain, ulcers or pustules in the ear, wax of the ear. The condition is marked by redness of ear and burning sensation with piercing pain."
L4,276,274,C-2,Ṭarash,طرش,Impaired hearing,"Diminished power of hearing. It can be traumatic, congenital, senile, after acute diseases, hot and cold impaired temperament of ear, infiltration of viscous humours in auditory nerve, obstruction in the ear passage by ear polyp, foreign body or tumours."
L4,277,274,C-3,Waqr,وقر,Deafness,Complete loss of hearing.
L4,278,274,C-4,Ṣamam/Lādī,صمم/ لادي,Congenital deafness,An anomaly where patient has no external ear opening.
L4,279,274,C-5,Ṭanīn-o-Dawī,طنين و دوى,Tinnitus/Tinnitus aurium,"A condition in which patient hears non existing voices. The condition can be continuous or intermittent. When the sound is of high pitch it is known as <em>Ṭanīn</em> and when the sound is of low pitch it is known as <em>Dawī</em>. It is due to general weakness, under nourishment, congestion of head with fluids and morbid material ,weakness of the hearing faculties, presence of wax in the ear, etc."
L4,280,274,C-6,Infijār al-Dam mina’l Udhun,انفجار الدم من الاذن,,"Bleeding from the ear due to trauma or injury of the ear, insect and reptile bite, congestion of arteries and their rupture. It is often seen in the critical phase of some diseases."
L4,281,274,C-7,Dīdān al-Udhun,ديدان الاٍذن,Maggots in the ear cavity,"Maggots in the ear cavity are due to deposition of wax, cold and coryza, etc."
L4,282,274,C-8,Iltihāb al-Udhun,التهاب الاذن,Otitis,"Inflammation of ear which is of two types: acute and chronic. It is caused by predominance of humours, irritation of auditory nerve, syringing of ear, gout, joint pain and lymphadenitis."
L4,283,274,C-9,Sayalān al-Udhun,سيلان الاذن,Otorrhoea,"Discharge of fluid from the external auditory meatus. The condition is common in children and persons with wet temperament. Its causes are chronic catarrh, ulcer or swelling of external auditory meatus, pustules of ear, exposure to cold environment, foreign body, acute infective diseases, during teething period in children, etc."
L4,284,274,C-10,Ḥikka al-Udhun,حكة الاذن,Pruritus of ear,"Severe itching of the ear caused by predominance of yellow bile, maggots, wax, ulcers and pustules, predominance of gases in the ear, insect bite and diversion of saline fluids towards ear."
L4,285,274,C-11,Inkisār al-Udhun,انكسار الاذن,Fracture of external ear,Breaking of the cartilage of ear due to trauma or injury.
L4,286,274,C-12,Inqilā‘ al-Udhun,انقلاع الاذن,Avulsion of ear,Detachment of the pinna by severe pulling of ear or inflammation and gases inside.
L4,287,274,C-13,Qulā‘ al-Udhun,قلاع الاذن,,"The disease mostly affects children. It starts with the roughness of ear and fissures followed by discharge of yellowish fluids, itching and pruritus."
L4,288,274,C-14,Harb al-Udhun,هرب الاذن,Dysacousia,The hypersensitivity of the auditory nerve due to which patient cannot tolerate loud sounds. It is caused by weakness of the hearing faculties of brain.
L4,289,274,C-15,Sudda al-Udhun,سدة الاذن,Ear obstruction,"Obstruction of the external meatus of ear. It may be congenital or acquired. Congenital type can be due to imperforated meatus, polyps or membrane. Acquired type can be due to fibrosis after inflammation or foreign body of the ear. In this condition, patient cannot hear the sounds."
L4,290,274,C-16,Wasakh al-Udhun,وسخ الاذن,Impacted wax/ Cerumen,"A condition where the wax in the ear becomes viscous and hard thereby causing hindrance in hearing. It is caused by improper cleaning of ear, dirt, dust, cold and catarrh, continuous irritation of the ear, use of sharp corrosive ear drops and increased activity of wax producing apparatus."
L4,291,274,C-17,Buthūr al-Udhun,بثور الاذن,Eruptions of the ear,A very common condition of the ear characterized by the presence of eruptions in the ear.
L4,292,274,C-18,Qurūḥ al-Udhun,قروح الاذن,Ear Ulcers,These are the ulcers of ear which develop as a result of bursting of swelling and eruptions. It is characterized by discharge of pus from the ears.
L4,293,274,C-19,Qadhā fi’l Udhun,قذ یٰ في الاذن,Foreign body of ear,"Foreign body in the ear can be living and non-living. Living foreign body may be insects, flies. Non-living foreign body may be grains, rice, seeds and beads."
L4,294,274,C-20,Waram Aṣl al-Udhun/ Waram-i-Ghudda-i-Nakaf,ورم اصل الاذن/ ورم غدۂ نکف,Parotitis/Mumps,"A type of inflammation that is usually dangerous and spreads in the form of epidemic. It may also appear in the form of parotid gland abscess, characterized by delirium, confusion and sometimes death. This is caused by morbid humours."
L4,295,274,C-21,Nazla-o-Zukām,نزلہ و زكام,Coryza and catarrh,The flow of catarrhal fluids from the brain towards nose and throat. Some physicians have differentiated them by saying that while the flow of these fluids towards nose is known as <em>Zukām</em> the flow towards throat is known as <em>Nazla</em>. If the symptoms are intense then it is known <em>Nazla-o-Zukām Ḥārr</em> (acute). If these are of low intensity then it is known as <em>Nazla-o-Zukām Bārid</em> (chronic).
L4,296,274,C-22,Nazla Udhuniyya,نزلہ اذنيہ,Otocatarrh,Infiltration of discharge from the head towards ear which blocks the eustachian tube leading to defect in hearing.
L4,297,274,C-23,Khasham,خشم,Anosmia,Loss of sense of smell.
L4,298,274,C-24,Fasād al-Shamm,فساد الشم,Anosphrasia/Parosmia,"Impairment of the sense of smell. The condition is manifested in three forms: 1. smelling of only one kind of odour due to loss of olfactory faculty of the brain caused by its impaired temperament or the accumulation of one type of humour in the forebrain, 2. smelling of different odours at a time. This is due to presence of different kinds of humour in the brain, 3. smelling of fragrances only and not of bad odours, 4. smelling of only bad odours and not fragrances."
L4,299,274,C-25,Buthūr al-Anf,بثور الانف,Nasal papules,Eruptions in the nasal cavity that may be due to accumulation of acute humours resulting in their putrefaction.
L4,300,274,C-26,Qurūḥ al-Anf,قروح الانف,Nasal ulcers,"Ulcers of nose which may be <em>Marṭūb</em> (wet), <em>Khushk</em> (dry) and <em>‘Afina</em> (infected). They are produced by the accumulation of acute and morbid humours."
L4,301,274,C-27,Ḥikka al-Anf,حكة الانف,Nasal irritation,Irritation or itching of nose followed by severe burning of nose. It is due to presence of acute humour which after coming in contact with cold environment causes burning and itching.
L4,302,274,C-28,Dīdān al-Anf,ديدان الانف,Nasal myiasis,Invasion of phlegmatic humour which causes flow of fluid mixed with blood and maggots from the nose. The condition is more common in summer and rainy season.
L4,303,274,C-29,Bakhr al-Anf/ Natn al-Anf,بخر الانف/ نتن الانف,Ozaena,"Bad odour from the nose. Its causes may be nasal polyps, ulcers of nose, injury of nose, foreign body of the nose, glossitis, dental caries and stomatitis. It may also be a complication of some infectious disease e.g. small pox, measles, syphilis and lymphadenitis. This is due to the upward movement of putrified gases from chest and lungs to nose."
L4,304,274,C-30,Raḍḍ al-Anf,رض الانف,Nasal trauma,Contusion or crushing of nose due to injury in which the bone and cartilage of nose is broken.
L4,305,274,C-31,Ru‘āf,رعاف,Epistaxis,"Bleeding from nose. It may be due to congestion, injury, during the <em>Buḥrān</em> (critical phase of disease) of disease. Other causes include presence of acute humours and increased pressure of blood."
L4,306,274,C-32,Bawāsīr al-Anf/ Urbiyān al-Anf,بواسير الانف/ اربيان الانف,Nasal polyps,"A type of growth of nasal mucosa caused by the accumulation of melancholic blood in the vessels. It is of two types: benign which is soft in consistency and malignant which is hard in consistency. In this condition, there is discharge of fluid mixed with blood, deformity of nose and later disfigurement of face, nasal tone of voice and severe pain."
L4,307,274,C-33,‘Uṭās,عطاس,Sneezing,"A type of reflex movement that occurs, when the body tries to eliminate some irritant substance from nose and mouth. It can be due to two factors i.e. external such as dirt, dust and internal due to involvement of brain e.g. impaired temperament of brain."
L4,308,274,C-34,Qadhā al-Anf,قذ یٰ الانف,Foreign body in the nose,"Presence of foreign body in the nasal cavity. It can be living e.g. mosquito, flies, etc. and non-living e.g. seeds, peas, etc."
L4,309,274,C-35,Jafāf al-Anf,جفاف الانف,Rhinitis sicca,A condition in which there is severe dryness in the nose after high fever and tuberculosis. It is sometimes due to mucilaginous material which dries because of inspiratory air.
L4,310,274,C-36,Zukām,زكام,Coryza,"Flow of fluids from brain towards nose. It is due to exposure to hot or cold environment internally and externally. It is of two types <em>Ḥārr</em> (acute) and <em>Bārid</em> (chronic). Acute type is characterized by redness of face, fever, frequent discharge from nose, nasal sound, and irritation of nose. Chronic type is characterized by cold discharge from nose, itching, oedema of face, blockage of nose with nasal sound."
L4,311,274,C-37,Inḥirāf Fāṣil al-Mankharayn,انحراف فاصل المنخرين,Deviated nasal septum,Deviation of nasal septum on either side. It is of two types: <em>Khilqī</em> (congenital) and <em>Iktisābī</em> (acquired).
L4,312,274,C-38,Anfī Besh Ḥassāsiyat,انفى بيش حساسيت,Allergic rhinitis,A state of hypersensitivity induced by exposure to a particular antigen. Unani physicians have described this as a response of medicatrix naturae towards harmful substance. Nasal allergy is marked by irritation of nose and sneezing with discharge. Sometimes there is nasal blockage. On examination the nasal mucosa appears to be inflamed and oedematous.
L4,313,274,C-39,Iltihāb al-Anf,التهاب الانف,Rhinitis,Inflammation of mucous membrane of nose.
L5,314,313,C-39.1,Iltihāb al-Anf Ḥādd,التهاب الانف حاد,Acute rhinitis,Acute inflammation of nasal mucosa.
L5,315,313,C-39.2,Iltihāb al-Anf Muzmin,التهاب الانف مزمن,Chronic rhinitis,Chronic inflammation of nasal mucosa.
L5,316,313,C-39.3,Iltihāb al-Anf Ḍumūrī,التهاب الانف ضموري,Atrophic rhinitis,Chronic inflammation of nasal mucosa marked by wasting of mucous membrane and the glands.
L5,317,313,C-39.4,Iltihāb al-Anf Takaththurī,التهاب الانف تكثري,Hypertrophic rhinitis,Chronic inflammation of nasal mucosa in which the membrane thickens and swells.
L4,318,274,C-40,Iltihāb-i-Tajāwīf al-Anf,التهاب تجاويف الانف,Sinusitis,"Inflammation of paranasal sinuses. This condition may be purulent, non-purulent, acute and chronic. Depending on the site of involvement it is known as ethmoidal, frontal, maxillary or sphenoidal sinusitis."
L4,319,274,C-41,Sudda-i-Khayshūm,سدۂ خیشوم,Nasal obstruction,It is the obstruction of nasal passage caused by viscous humour or fleshy growth or crust of wounds. It is characterized by nasal tone of voice. It can also lead to tinnitus.
L4,320,274,C-42,Waram al-Lisān,ورم اللسان,Glossitis,Inflammation of tongue which may be due to various causes but the most common is the accumulation of viscous fluids on the tongue.
L4,321,274,C-43,Ḥurqa al-Lisān,حرقة اللسان,Glossopyrosis,"Burning sensation of tongue that may be due to infiltration of acute humour, intake of spicy foods and predominance of heat in brain and stomach."
L4,322,274,C-44,Ḥikka al-Lisān,حكة اللسان,Pruritus tongue,Severe itching of tongue due to infiltration of sharp humours from the brain or their progression from the stomach.
L4,323,274,C-45,Taqashshur al-Lisān,تقشر اللسان,Desquamation of tongue,Scaling of inner surface of mouth and tongue due to accumulation of sharp humours in it.
L4,324,274,C-46,Istirkhā’ al-Lisān,استرخاء اللسان,Glossoptosis,"A condition where the tongue becomes flaccid, there is increased salivation and patient feels difficulty in speaking."
L4,325,274,C-47,Buṭlān al-Dhawq,بطلان الذوق,Ageusia,Complete loss of sense of taste. It is a condition in which the patient can neither differentiate between hot and cold nor sweet and sour taste. It is due to accumulation of fluids in the nerves supplying the tongue.
L4,326,274,C-48,Fasād al-Dhawq,فساد الذوق,Dysgeusia,Impairment of the sense of taste. It is a condition in which the patient feels a bitter taste of everything. It is due to the predominance of yellow bile on the tongue. Sometimes patient feels saline taste due to the preponderance of saline phlegm.
L4,327,274,C-49,‘Iẓam al-Lisān,عظم اللسان,Megaloglossia/Macroglossia,Enlargement of tongue without inflammation because of which tongue usually protrudes out of the mouth. It is due to accumulation of fluids in the tongue. It is of two types: congenital and acquired.
L4,328,274,C-50,Thiql al-Lisān,ثقل اللسان,Glossopathy,"Heaviness of tongue caused by spasm due to dryness, flaccidity, paralysis, meningitis, tongue tie and hard swelling or tumour of the tongue. The condition leads to speech disorders and the affected person suffers from <em>Taghayyur-i-Kalām</em> (inability to pronounce words clearly and with ease)."
L4,329,274,C-51,Ḍifda‘ al-Lisān,ضفدع اللسان,Ranula,A type of hard growth or cyst on the under surface of tongue resembling frog due to which patient cannot speak properly.
L4,330,274,C-52,Shuqāq al-Lisān,شقاق اللسان,Fissures of tongue,Elongated furrow/fissure of the tongue due to dry impaired temperament of head and mouth which causes irritation and burning while eating. It can also be due to the involvement of stomach. Putrified gases from the stomach dry up the tongue causing fissures.
L4,331,274,C-53,Qulā‘,قلاع,Stomatitis/ Thrush,"A type of ulcer found on the external surface of mouth and tongue and spread towards oesophagus and stomach. It is due to accumulation of morbid humours. In this condition the patient feels burning and pain of mouth. Other symptoms that may follow are coated tongue, bad breath, nausea, vomiting, and loss of appetite. When these ulcers spread towards stomach, the patient feels difficulty in swallowing and speaking."
L5,332,331,C-53.1,Qulā‘ Damawī,قلاع دموي,Sanguineous stomatitis,"A type of stomatitis caused by the predominance of sanguine. It is characterized by redness at the site, inflammation and raised temperature, etc."
L5,333,331,C-53.2,Qulā‘ Ṣafrāwī,قلاع صفراوی,Bilious stomatitis,It is a rare type of stomatitis caused by <em>Ṣafrā’</em> (yellow bile).
L5,334,331,C-53.3,Qulā‘ Balghamī,قلاع بلغمی,Phlegmatic stomatitis,A type of stomatitis caused by salty phlegm. It is characterized by little pain along with whitish discoloration of tongue and excessive salivation.
L5,335,331,C-53.4,Qulā‘ Sawdāwī,قلاع سوداوی,Melancholic stomatitis,A type of stomatitis caused by sharp <em>Muḥtariq Sawdā’</em> (burnt black bile). It is characterized by black discoloration of tongue and burning sensation.
L5,336,331,C-53.5,Qulā‘-i-Ṣibyān,قلاع صبیان,Oral thrush in babies,A type of stomatitis of children caused by indigestion due to poor quality of milk.
L4,337,274,C-54,Dā’ al-Ḥafr/ Ḥafr al-Asnān wa’l Qalḥ,داء الحفر/حفر الاسنان والقلح,Dental plaque,A yellow crust or discolouration of teeth which occurs at the root of the teeth. It can be of different colours e.g. black blue or yellow. It is caused by the deposition of viscous fluid from stomach and intestine in the mouth and teeth. The colour of deposits helps in identifying the predominant humour or causative humour. The crust is sometimes too hard to detach from the teeth.
L4,338,274,C-55,Dal‘ al-Lisān,دلع اللسان,Glossopathy,Protrusion of tongue due to inflammation and swelling or asphyxia.
L4,339,274,C-56,Jafāf-i-Lisān,جفاف لسان,Dry tongue,"Dryness of tongue caused by the predominance of <em>Ḥarārat</em> and <em>Yubūsat</em> or sticking of viscous matter on the surface of tongue. It is characterized by the yellowish discoloration, roughness of tongue along with other clinical features of predominance of <em>Ṣafrā’</em> (yellow bile) or presence of viscous matter on the surface of tongue."
L4,340,274,C-57,Buthūr al-Fam,بثور الفم,Papular stomatitis,Eruptions of the tongue caused by predominance of <em>Ṣafrā’</em> (yellow bile) in blood. It causes severe pain and difficulty in eating.
L4,341,274,C-58,Ākila al-Fam,آكلة الفم,Cancrum oris,"Deep ulcers of mouth commonly found in children. It covers large part of mouth in a short span of time. Its cause is the presence of putrified, irritant, acrid and corrosive humour which infiltrate towards gums from head. This is characterized by foetid breath, burning and pain of mouth, coated tongue, nausea, vomiting, etc."
L4,342,274,C-59,Kathra al-Lu‘āb,كثرة اللعاب,Sialorrhoea,Involuntary secretion of saliva during sleep. It is caused by hot and wet impaired temperament of stomach.
L4,343,274,C-60,Bakhr al-Fam,بخر الفم,Halitosis,Foul smell from the mouth due to involvement of stomach. It is caused due to the abnormal heat and putrified phlegm in the stomach and characterized by blackish discoloration of teeth. It may also be caused by ulcers of gums and dental caries.
