levels,tid,pid,wordcode,code,word,translation,definition,refn
L5,342,334,முக்குற்றம்,EHD,Mukkuṟṟam,ageusia classified under mukkutram,,
L6,343,342,முக்குற்ற சுவையின்மை நோய்,EHD1.1,Mukkuṟṟacuvaiyiṉmai Nōy,indigestion due to derrangement of mukkutram,"It is characterised by loss of taste, nausea, foul smelling of mouth. It is explained by aggravation of mukkutram. Of all the seven udal kattugal, saaram, senneer, Kozhuppu get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 270"
L4,344,249,வாந்தி ,EI,Vānti,vomiting,,
L5,345,344,வளி,EIA,Vaḷi,vomiting classified under vali,,
L6,346,345,வளி வாந்தி,EIA1.1,Vaḷi Vānti,vomiting due to derrangement of vali,"It is characterised by vomiting, nausea, excessive salivary secretion, retching, bitterness of mouth, abdominal pain, regurgitation, continous vomiting, irritation of throat, belching, hiccup, palpitation, fatigue, tiredness and hoarseness of voice. It is explained by aggravation of Vatham and then increases pitham. of all seven udal kattugal, saaram, senneer, oon and kozhuppu get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 287"
L5,347,344,அழல்,EIB,Aẕal,vomiting classified under Azhal,,
L6,348,347,எரு வாந்தி,EIB1.1,Eru Vānti,fecal vomiting,"It is characterised by uncontrollable abdominal pain, dyspnoea, chillness of limbs, abdominal distension, excessive thirst, fever, head ache, giddiness and feacal vomiting. It is explained aggravation of Pitham and increases vatham. Of all the seven udal kattugal, saaram, senneer and kozhuppu get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 288"
L6,349,347,அழல் வாந்தி,EIB1.2,Aẕal Vānti,vomiting due to derrangement of azhal,"it is characterised by vomiting associated with excessive thirst, bitterness of mouth, head ache, fainting, giddiness and burning sensation in the body. Yellowish, greenish tinted vomitus will present. It is explained by aggravation of Pitham. Of all the seven Udal Kattugal, saaraam, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 287"
L6,350,347,கண்ணேறு வாந்தி,EIB1.3,Ka¸¸®¼u V¡nti,vomiting due to evil eye curse,"It is characterised by vomiting occurs due to evil look of others. It is explained by aggravation of Pitham. Of all seven udal kattugal, saaram get affected","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 288"
L6,351,347,குருதி வாந்தி,EIB1.4,Kuruti Vānti,hemetemesis,"It is characterised by blood vomiting occurs especially in tuberculosis, ulcers in stomach, damage of left and right lobes of liver. Fresh blood vomiting with frothy occurs in Tuberculosis, dark colourd vomiting occurs in stomach ulcer due to mixing of blood with ingested food. It also occurs in hypertension and kidney disease. It is explained by aggravation of Pitham and then increases Vatham. of all seven udal kattugal, saaram, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 289"
L6,352,347,வெறுப்பு வாந்தி,EIB1.5,Veṟuppu Vānti,vomiting due to aversion,"It is characterised by vomiting occurs due to dislike. Vomiting occurs on seeing or touching disliked substance and even on thinking about it. It is explained by aggravation of kabham. Of all seven udal kattugal, saaram, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 288"
L6,353,347,புழு வாந்தி,EIB1.6,Puẕu Vānti,vomitting due to helmenthic infections,"It is characterised by vomiting occurs due to worm infestation. Vomiting occurs with salivary secretion and worms will expel out in vomitus. It is explained by aggravation of Pitham and then increases vatham. Of all seven udal kattugal, saaram, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 288"
L6,354,347,சூல் வாந்தி,EIB1.7,Cūl Vānti,nausea gravidarum,"It is characterised by nausea, vomiting during the first trimester of pregnancy and tiredness. It is explained by aggravation of pitham and then increases to vatham. Of all the seven udal kattugal, saaram, sennner get affected","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 289"
L5,355,344,ஐயம்,EIC,Aiyam,vomiting classified under Aiyam,,
L6,356,355,ஐய வாந்தி,EIC1.1,Aiya Vānti,vomiting due to derrangement of aiyyam,"It is characterised by vomiting, excessive salivary secretion, foul smelling in mouth, bitterness of mouth, chest pain with palpitation, sweating over the face and dryness of the eyes. It is explained by aggravation of Kabham and then increases to Vatham. of all seven udal kattugal, saaram, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 287"
L5,357,344,முக்குற்றம்,EID,Mukkuṟṟam,vomiting classified under mukkuttram,,
L6,358,357,முக்குற்ற வாந்தி,EID1.1,Mukkuṟṟa Vānti,vomiting due to derrangement of mukkuttram,"It is characterised by vomiting, salivary secretion, obstruction in throat, excessive thirst, fainting and shivering of body, impairment of intelligence. It is explained by aggravation of mukkutram. Of seven udal kattugal, saaram, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 287"
L4,359,249,விக்கல் நோய்,EJ,Vikkal Nōy,hiccups,,
L5,360,359,வளி,EJA,Vaḷi,hiccups classified under Vali,,
L6,361,360,வளி விக்கல் நோய்,EJA1.1,Vaḷi Vikkal Nōy,hiccups due to derrangement of vali,"It is characterised by hiccup occurs repeatedly, rapid movement of eyeballs. It is explained aggravation of Vatham. Of all seven udal kattugal, saaram get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 281"
L5,362,359,அழல்,EJB,Aẕal,hiccups classified under Azhal,,
L6,363,362,அழல் விக்கல் நோய்,EJB1.1,Aẕal Vikkal Nōy,hiccups due to derrangement of azhal,"It is characterised by hiccup occurs due to excessive appetite,fatigue, worries. Hiccup sound arises from the larynx. It is explained by aggravation of Pitham and then increases vatham. Of all the seven udal kattugal, saaram, senneer get affeceted.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 282"
L5,364,359,ஐயம்,EJC,Aiyam,hiccups classified under Aiyam,,
L6,365,364,ஐய விக்கல் நோய்,EJC1.1,Aiyavikkal Mūḷai,hiccups due to derrangement of aiyyam,"It is characterised by hiccup, dryness of throat, paleness of face, watering of eyes, eye congestion, excessive mucus secretion and indigestion. It is explained by aggravation of Kabam and then increases pitham. Of all the seven udal kattugal, saaram, seneer get affected","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 282"
L6,366,364,செரியா விக்கல் நோய்,EJC1.2,Ceṟiya Vikkal Nōy,hiccups due to gastroesophageal reflux,"it is characterised by hiccup caused by eating too hot foods, dryness of throat, hoarseness of voice and cough. Hiccup will not subside until the food get digested. It is explained by aggravation of kabam and then decrease of pitham. Of all the seven udal kattugal, saaram, senneer, kozhuppu get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 283"
L5,367,359,முக்குற்றம்,EJD,Mukkuṟṟam,hiccups classified under mukkutram,,
L6,368,367,முக்குற்ற விக்கல் நோய்,EJD1.1,Mukkuṟṟa Vikkal Nōy,hiccups due to derrangement of mukkutram,"It is characterised by hiccup arising from the abdomen, occurs repeatedly without interruption, chest pain, dyspnoea, extreme fatigue. It is explained by aggravation of mukkutram. Of all seven udal kattugal, saaram, senneer get affected.","kuppusamy mudhaliyar. 2007. Pothu Marthuvam 7th edition, Chennai: Department of Indian Medicine and Homoeopathy.pg 282"
L3,369,2,நரம்பு நோய்கள்,F,Narampu Nōykaḷ,Neurological diseases,,
L4,370,369,சன்னி நோய்,FA,Caṉṉi Nōy,Delirium,,
L5,371,370,முக்குற்றம்,FAD,Mukkuṟṟam,Delirium classified under mukkutram,,
L6,372,371,சந்திக சன்னி,FAD1.1,Cantika Caṉṉi,Delirium with arthalgia affecting due to vatha Iyam,"This is characterized by generalised pricking pain worried,arthralgia of LL,aggravated Iyam,unable to open one’s eyes,lying in stupor,burning sensation of the body with chillness.This can be explained by deranged vali influencing iyam affects vyanan.Among the seven udal thathukkal,saram to kozhuppu is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-471"
L6,373,371,அந்தக சன்னி,FAD1.2,Antaka Caṉṉi,Delirium with dyspepsia leading to fatal,"This is characterized by dryness of tongue,intense thirst,burning sensation of the body,giddiness,vomiting,muttering,hiccough,mlaise,heaviness of the head. This can be explained by deranged vali affects udanan,samanan. Among the seven udal thathukkal,saram to seneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-472"
L6,374,371,ருத்தாக சன்னி,FAD1.3,Ruttāka Caṉṉi,delirium with dehydration,"This is characterized by rolling in the bed,burning sensation of the body,phobia,neck pain,generalized pricking pain,dryness of lips,sweating in the forehead,complaining to others.This can be explained by deranged azhal affecting vali and Iyam affects vyanan. Amog the seven udal thathukkal,saram to seneer is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-473"
L6,375,371,சித்த விப்ரம சன்னி,FAD1.4,Citta Viprama Caṉṉi,delirium with amnesia due to vali azhal,"This is characterized by generalized bodyache,aggravated vali azhal,stupor,changes in one’s personality, suffers due to deterioration in one’s health,muttering, wheeze, dyspnoea,intractable diarrhoea and leads to fatal.This can be explained by deranged azhal influences vali and Iyam affects nagan.Among the seven udal thathukkal,saram to Oon is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-474"
L6,376,371,சீதாங்க சன்னி,FAD1.5,Cītāṅka Caṉṉi,delirium due to increased coldness in the body,"This is characterized by chillness all over the body,continuous cough,dyspnoea,hiccough,vomiting,stupor,tremors,frequent diarrhoea,muttering. This can be explained by deranged Iyam,affects udanan,vyanan,abanan and nagan. Among the seven udal thathukkal,saram to kozhuppu is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-475"
L6,377,371,தாந்தரீக சன்னி,FAD1.6,Tāntarika Caṉṉi,delirium with prostration,"This is characterized by muttering,blackish discoloration of tongue.dryness with thorny texture,thirst,diarrhoea,dyspnoeic,pruritus ,edema of eyes with lacrimation and hyperpyrexia.This can be explained by deranged Iyam influences azhal affects udanan,nagan,vyanan,pranan.Among the seven udal thathukkal saram to kozhuppu is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-476"
L6,378,371,கண்டகுப்ச சன்னி,FAD1.7,Kaṇṭakupca Caṉṉi,delirium with constriction of throat,"This is characterized by phobia,neck stiffness,panic attacks followed by stupor,heaviness of the body,vomiting, hiccough,cough, and pain in the chest and head. This can be explained by deranged vali influencing azhal affects udanan,nagan. Among the seven udal thathukkal,saram to moolai is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-477"
L6,379,371,கர்ணிக சன்னி,FAD1.8,Karṇika Caṉṉi,delirium with otitis,"This is characterized by earache due to inflammation ,deafness,lockjaw,dyspnoea,cough,thirst,oral stomatitis,blackish discoloration of the tongue,tremors,heaviness of the head,muttering.This can be explained by deranged Iyam affects udanan,nagan,pranan. Among the seven udal thathukkal,saram to kozhuppu is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-478"
L6,380,371,புக்னநேத்திர சன்னி,FAD1.9,Pukṉanēttira Caṉṉi,delirium with opthalmic disease,"This is characterized by redness of eyes,dimness of vision,both the eyelids gets sticky due to mucus secretion, arthralgia,myalgia,osteodynia,coldextremities,delusion,crampmuttering. This can be explained by deranged vali affects vyanan,nagan. Among the seven udal thathukkal saram to moolai is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-479"
L6,381,371,இரக்தஸ்டீவி சன்னி,FAD1.10,Raktaṣṭīvi Caṉṉi,delirium with bleeding from g.i.t. and respiratory tract,"This is characterized by redness of eyes,dimness of vision,both the eyelids gets sticky due to mucus secretion, arthralgia,myalgia,osteodynia,coldextremities,delusion,crampmuttering. This can be explained by deranged vali affects vyanan,nagan. Among the seven udal thathukkal saram to moolai is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-480"
L6,382,371,பிரலாப சன்னி,FAD1.11,Piralāpa Caṉṉi,delirium with incoherent speech,"This is characterized by signs and symptoms of sanni along with increased muttering,incoherent speech,generalised burning sensation and pain,attacks others,fever,hiccough,goose hair,anxious speech.This can be explained by deranged vali affects udanan,vyanan,nagan. Among the seven udal thathukkal,saram to moolai is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-481"
L6,383,371,சிம்மக சன்னி,FAD1.12,Cimmaka Caṉṉi,delirium with fissures in tongue,"This is characterized by signs and symptoms of sanni along with thorn-like texture of the tongue,blackish discoloration of the tonue,fissured,difficulty in speaking,poor hearing,hiccough,bodyache. This can be explained by deranged Iyam affects udanan,vyanan, and bothagam. Among the seven udal thathukkal,saram to moolai is affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-482"
L6,384,371,அபிநியாச சன்னி,FAD1.13,Apiniyāca Caṉṉi,delirium with dysfunction of panchendriyam due to Iyam,"This is characterized by signs and symptoms of sanni along with dysfunctionofpanchendriyam,anorexia,speechless,stupor,aggravatedmukkutram,predominantlyIyanaadi,wheeze,cough,drynessoftongue,hallucination of many colored,coma,hyperpyrexia,glowing face.Thi can be explained by deranged mukuttram affects udanan,nagan.All the seven udal thathukkal gets affected.","Yugi munivar Vaidhya Chinthamani (perunool 800)First Part; 1976, (2nd ed.), Chennai; Dept of Indian Medicine and Homeopathy, Page No: 470-483"
L4,385,369,வலிப்பு,FB,Vaḷippu,Epilepsy,,
L5,386,385,முக்குற்றம்,FBD,Mukkuṟṟam,Epilepsy classified under mukkuttram,,
L6,387,386,முப்பிணி வலிப்பு,FBD1.1,Muppiṇi Valippu,Epilepsy due to Vali Iyam,"This is characterised by jerking movements (clonic) of tongue and face.Neck and shoulder muscles becoming tense or rigid (tonic),seizures affecting ears,jaw and lips to deviate. Also known as Kumarakandan vali. This can be explained by deranged vali influences Iyam affects vyanan,samanan.This is one among the disease condition occurring due to derangement of mukkutram. All the seven udal thathukkal is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 553- 554"
L6,388,386,குதிரை வலிப்பு,FBD1.2,Kutirai Valippu,Epilepsy preceded by pruritus,"This is characterised by onset of warning signs and symptoms with generalised bodyache,pricking pain in the body,syncope, followed by seizures,bites teeth,increased sweating over the neck,head,shoulder and face.Tongue and face jerks and deviates.After getting relieved of seizures,pain and burning sensation persists in the throat,shoulder and back of the trunk region. Also known as Amarakandan vali.This can be explained as derangement of vali influences azhal affects vyanan,nagan.Among the seven ","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 554"
L6,389,386,குரங்கு வலிப்பு,FBD1.3,Kuraṅkuvalippu,Epilepsy due to mukkuttram,"This is characterised by rhythmic movements of UL and LL keeping extended(clonic).Staring and upward rolling of eyes. This can be explained due to derangement of mukkutram. with bad prognosis. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 555"
L6,390,386,காக்கை வலிப்பு,FBD1.4,Kākkai Valippu,Epilepsy due to Iyam,"This is characterised by anxious and panic attacks.,eyes staring,blinking,difficulty in flexion of thigh muscles((tonic).Dryness of throat and tongue.Saliva may accumulate and phlegm in the throat,bladder emptying and defaecation, sweating occurs. This can be explained by derangement of vali influencing Iyam affects udanan,abanan,vyanan,nagan,koorman,kirukaran. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 555-556"
L6,391,386,முயல் வலிப்பு,FBD1.5,Muyal Valippu,Epilepsy due to mukkuttram,"This is characterised by seizures,followed by abdominal pain, saliva froth in the mouth,hands,legs, and eyes becomes rigid(tonic).This can be explained by derangement of mukkutram affects vyanan,udanan,samanan,nagan. This condition onsets due to hydrophobia or pyrophobia.This is also known as Muyalagan.Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 556"
L6,392,386,திமிர் வலிப்பு,FBD1.6,Timir Valippu,Epilepsy due to insomnia,"This is characterised by excessive yawning,laughing often,dancing,singing,unable to sit or lie in one place,chillness of the body and neuralgia,insomnia. This can be explained by derangement of vali affects udanan,samanan. Among the seven udal thathukkal,saram to Oon is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 557"
L6,393,386,கண் வலிப்பு,FBD1.7,Kūṉ Valippu,Epilepsy due to skin infections,"This is characterised by pruritus with abscesses,anosmia,impaired consciousness or awareness hoarseness or low voice,fever.This can be explained by deranged vali influences azhal affects udanan,vyanan,nagan,kirukaran. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 557"
L6,394,386,கொடிய வலிப்பு,FBD1.8,Ko¶iya Valippu,Epilepsy due to udanan,"This is characterised by panic,spasms of body with pain,deep breath with difficulty,mild cough,vomiting,hiccough,weakens nerve strength,neck pain. This can be explained by deranged vali affects udanan. Among the seven udal thathukkal,saram to seneer is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 557-558"
L6,395,386,மரண வலிப்பு,FBD1.9,Maraṇa Valippu,Epilepsy preceding fatal,"This is characterised by sorethroat,jerky movements of body,vomiting,melancholy and thinking God.This occurs in the terminally ill condition.This can be explained by deranged Iyam influences vali affects vyanan,udanan. All the seven udal thathukkal gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 558"
L6,396,386,மனோ வலிப்பு,FBD1.10,Maṉō Valippu,Epilepsy due to Azhal,"This is characterised by increased azhal affects head,lacrimation,in mute like saints or deadbody,laughing,crying,frequent seizures.This can be explained by deranged azhal affects udanan. Among the seven udal thathukkal,saram to seneer is affected","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 558-559"
L6,397,386,நஞ்சு வலிப்பு,FBD1.11,Nañcu Valippu,Epilepsy due to toxicity,"This is characterised by damage to sense organs, anxious look,mania.This condition occurs due to ingestion of toxins like idumarunthu, strychnos nux vomica seed, aconitesThis can be explained by deranged vali influences azhal affects nagan. Among the seven udal thathukkal,saram to Oon is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 559"
L6,398,386,முக்குற்ற வலிப்பு,FBD1.12,Mukkuṟṟa Valippu,Epilepsy due to mukkuttram,"This is characterised by loss of clarity of mind, loss of intelligence and one’s personality. Pain in the eyes followed by darkening or lightening.This can be explained by derangement of mukkutram affects nagan,koorman. All the seven udal thathukkal may get affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 559-560"
L6,399,386,ஐய வலிப்பு,FBD1.13,Aiya Valippu,Epilepsy due to Iyam,"This is characterised by cough,pain in the intercostals region, damagedvision,deafness,sweating,syncope,lossofintelligence,seizures,after alleviation of seizures lies immobile.This can be explained by deranged iyam influences vali affects udanan,vyanan,nagan,koorman. Among the seven udal thathukkal,saram to Oon is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 560"
L6,400,386,வில் வலிப்பு,FBD1.14,Vil Valippu,opisthotonus,"This is characterised by opisthotonus.This is also known as dhanur vali or dhanurvatham.Post-relief of spasm the disease condition aggravates.Constriction of cheat,throat causing difficulty in breathing. These signs and symptoms followed by fatal.This can be explained by deranged vali influences Iyam affects vyanan,udanan,pranan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 560-561"
L6,401,386,சுர வலிப்பு,FBD1.15,Cura Valippu,febrile fits in children,"This is characterised by increased heat in the blood,affecting the head causes redness of eyes,facial pallor,or icterus,burning sensation all over the body,maniac and eyes rolls.This occurs due to hyperpyrexia.This can be explained by deranged azhal influences vali affects vyanan,nagan.Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 561"
L6,402,386,விக்கல் வலிப்பு,FBD1.16,Vikkal Valippu,Epilepsy due to mukkuttram,"This is characterised by seizures due to deranged vali,increased appetite due to deranged azhal,hiccough,congestion in the chest due to deranged Iyam. Also bruxism,redness of eyes. This can be explained by derangement of mukuttram.All the seven udal thathukkal gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 562"
L6,403,386,தலை வலிப்பு,FBD1.17,Talai Vappu,Epilepsy due to udanan affecting brain,"This is characterised by secretion of fluid in the brain due to increased udanan,causing headache.Due to deranged Iyam sorethroat,aphonia,arthralgia,occipital pain,spear-like piercing headache followed by seizure. This can be explained by deranged Iyam influences vali affects udanan,vyanan. Among the seven udal thathukkal,saram to kozhuppu gets affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 562"
L6,404,386,கோழை வலிப்பு,FBD1.18,Kōẕai Valippu,Epilepsy due to mukkuttram,"This is characterised by cough with expectoration,muttering as in sanni,difficulty in breathing,vomiting,snoring followed by seizures. This can be explained by derangement of mukuttram,affects udanan ,vyanan,nagan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 563"
L6,405,386,ஓடு வலிப்பு,FBD1.19,Ōṭu Valippu,Epilepsy due to dysentery,"This is characterised by hyperpyrexia,pain in the thigh muscles,frothy diarrhoea,anger,ocular pain,numbness of fingers followed by seizures. This can be explained by deranged azhal influences vali affects vyanan,abanan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 563"
L6,406,386,மார்பு வலிப்பு,FBD1.20,Mārpu Valippu,Epilepsy due to pitha iyam,"This is characterised by continuous fever,cough with expectoration,tonic spasm. This condition occurs due to lust to woman. This can be explained by deranged azhal influences Iyam affects udanan,vyanan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 564"
L6,407,386,தமரக வலிப்பு,FBD1.21,Tamaraka Valippu,Epilepsy due to vali iyam,"This is characterised by headache,angina,anxiety,excessive anger,congestion in the chest,followed by derangement of mukuttram causes seizures.This can be explained by deranged vali influences Iyam affects udanan,vyanan. Among the seven udal thathukkal,saram to kozhuppu is affected.","K. N. Kuppusamy Mudaliar (2007). Siddha Maruthuvam - Pothu (7th ed.)Chennai; Department of Indian Medicine and Homeopathy, Page No 564"
L3,408,2,மகளிர் நோய்கள்,G,Makaḷir Nōykaḷ,Gynecological disorders,,
L4,409,408,தாபிதம்,GA,Tāpitam,Inflammation,,
L5,410,409,அழல்,GAA,Aẕal,Inflammation classified under Azhal,,
L6,411,410,சினைப்பை தாபிதம்,GAA1.1,Ciṉaippai Tāpitam,Oophoritis,"It is characterized by intense pain in abdomen,fever,foul odour vaginal discharge ,discomfort during intercourse ,menorrhagia,inflammation in the ovaries.It is explained by increased kapham and pitham..In the body constituents ,senneer is affected.","Venugopal,P.M(1971),Magalir maruthuvam(1st edition)Chennai;Director,Stationary and printing,For Govt.of T.N,P-56"
L6,412,410,அகல் தாபிதம்,GAA1.2,Akal Tāpitam,Vulvitis,"It is characterized by small abcesses in the vulva ,inflammation of vulva and other female external genitalia and lymphadenitis.It is explained by increased kapham and pitham.In the body constituents ,senneer is affected.","Venugopal,P.M(1971),Magalir maruthuvam(1st edition)Chennai;Director,Stationary and printing,For Govt.of T.N,P-46"
L6,413,410,யோனி தாபிதம்,GAA1.3,Yōṉi Tāpitam,Vaginitis,"It is characterized by inflammation in the vagina,pain and discomfort ,itching in the vagina.It is explained by increased kapham and pitham..In the body constituents ,senneer is affected.","Venugopal,P.M(1971),Magalir maruthuvam(1st edition)Chennai;Director,Stationary and printing,For Govt.of T.N,P-36"
L6,414,410,யோனி அகல் தாபிதம்,GAA1.4,Yōṉi-Akal Tāpitam,Vulvo vaginitis,"It is characterized by discharge in vagina,pain and inflammation in vagina.It is explained by increased kapham and pitham.It is due to senneer paathipu","Venugopal,P.M(1971),Magalir maruthuvam(1st edition)Chennai;Director,Stationary and printing,For Govt.of T.N,P-46"
L6,415,410,கழுந்து தாபிதம்,GAA1.5,Kaẕuntu Tāpitam,Cervicitis,"It is characterized by profuse vaginal discharge,menorrhagia,inflammation in cervix extending to vagina and vulva.It is explained by increased kapham and pitham.It is due to senneer paathipu","Venugopal,P.M(1971),Magalir maruthuvam(1st edition)Chennai;Director,Stationary and printing,For Govt.of T.N,P-55"
L6,416,410,கருப்பை உள்கவச தாபிதம்,GAA1.6,Karuppai Uḷkavaca Tāpitam,Uterine endometritis,"It is characterized by tenderness in the lower abdomen,indigestion,foul smelling dischrge .It is explained by increased kapham and pitham.In the body constituents ,senneer is affected.","Venugopal,P.M(1971),Magalir maruthuvam(1st edition)Chennai;Director,Stationary and printing,For Govt.of T.N,P-55"
L4,417,408,சூதக தடை,GB,Cūtaka Taṭai,amenorrhea,,
L5,418,417,வளி,GBA,Vaḷi,amenorrhea classified under Vali,,
